INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/01/04', '39489959', '21127581248', 530.000000, 540.000000, 528.000000, 536.000000, 6.000000, '33316')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/01/26', '114797609', '71638808826', 632.000000, 640.000000, 610.000000, 617.000000, -16.000000, '177764')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/01/27', '72823691', '44931754892', 618.000000, 625.000000, 611.000000, 615.000000, -2.000000, '77274')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/01/28', '104181514', '62647021616', 600.000000, 608.000000, 598.000000, 601.000000, -14.000000, '157835')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/01/29', '96875889', '58399782288', 619.000000, 619.000000, 591.000000, 591.000000, -10.000000, '129394')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/02/01', '70161939', '42004241697', 595.000000, 612.000000, 587.000000, 611.000000, 20.000000, '81346')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/02/02', '80724207', '50938461582', 629.000000, 638.000000, 622.000000, 632.000000, 21.000000, '82687')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/02/03', '59763227', '37926170035', 638.000000, 642.000000, 630.000000, 630.000000, -2.000000, '56515')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/02/04', '47547873', '29765963971', 626.000000, 632.000000, 620.000000, 627.000000, -3.000000, '44668')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/02/05', '57350831', '36435290641', 638.000000, 641.000000, 631.000000, 632.000000, 5.000000, '51140')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/02/17', '115578402', '76728732025', 663.000000, 668.000000, 660.000000, 663.000000, 31.000000, '91925')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/02/18', '54520341', '36024245089', 664.000000, 665.000000, 656.000000, 660.000000, -3.000000, '49914')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/02/19', '51651844', '33676514428', 656.000000, 657.000000, 647.000000, 652.000000, -8.000000, '63171')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/02/22', '39512078', '25885948680', 660.000000, 662.000000, 650.000000, 650.000000, -2.000000, '47116')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/02/23', '52868029', '33779796222', 641.000000, 643.000000, 633.000000, 641.000000, -9.000000, '73349')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/02/24', '80010637', '50333904697', 627.000000, 636.000000, 625.000000, 625.000000, -16.000000, '138264')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/02/25', '45279276', '28634410089', 636.000000, 636.000000, 628.000000, 635.000000, 10.000000, '46506')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/02/26', '137933162', '84194194399', 611.000000, 618.000000, 606.000000, 606.000000, -29.000000, '212428')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/03/02', '57792973', '35565213485', 621.000000, 622.000000, 609.000000, 609.000000, 3.000000, '71325')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/03/03', '61171387', '37550028241', 609.000000, 622.000000, 601.000000, 622.000000, 13.000000, '57677')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/03/04', '75508388', '45662897489', 609.000000, 611.000000, 601.000000, 601.000000, -21.000000, '143916')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/03/05', '85579527', '50968119396', 588.000000, 605.000000, 584.000000, 601.000000, 0.000000, '127693')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/03/08', '47676630', '28737004484', 608.000000, 610.000000, 598.000000, 598.000000, -3.000000, '84570')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/03/09', '74471341', '43957092621', 585.000000, 595.000000, 585.000000, 595.000000, -3.000000, '119867')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/03/10', '41735443', '24904320192', 601.000000, 601.000000, 593.000000, 597.000000, 2.000000, '54196')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/03/11', '55462783', '33584884382', 596.000000, 612.000000, 595.000000, 609.000000, 12.000000, '47948')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/03/12', '33876990', '20780886905', 615.000000, 618.000000, 609.000000, 614.000000, 5.000000, '36145')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/03/15', '29767904', '18194081208', 614.000000, 614.000000, 609.000000, 611.000000, -3.000000, '26753')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/03/16', '37780820', '23074187740', 610.000000, 613.000000, 607.000000, 613.000000, 2.000000, '37573')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/03/17', '43942131', '26638906800', 612.000000, 612.000000, 602.000000, 604.000000, 0.000000, '68585')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/03/18', '30223846', '18286667342', 606.000000, 609.000000, 602.000000, 602.000000, -2.000000, '31677')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/03/19', '74960854', '44407634402', 594.000000, 598.000000, 591.000000, 591.000000, -11.000000, '106938')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/03/22', '35931375', '21250445678', 588.000000, 598.000000, 586.000000, 593.000000, 2.000000, '55005')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/03/23', '31933358', '19057386513', 597.000000, 603.000000, 593.000000, 594.000000, 1.000000, '36423')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/03/24', '115318351', '66559451738', 571.000000, 582.000000, 571.000000, 576.000000, -18.000000, '242138')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/03/25', '74225812', '42594849855', 572.000000, 581.000000, 570.000000, 575.000000, -1.000000, '115951')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/03/26', '37937242', '22271364837', 582.000000, 592.000000, 580.000000, 590.000000, 15.000000, '49718')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/03/29', '40573913', '24302039570', 599.000000, 602.000000, 596.000000, 599.000000, 9.000000, '44500')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/03/30', '34686346', '20661203325', 600.000000, 600.000000, 592.000000, 597.000000, -2.000000, '46755')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/03/31', '44454672', '26217366895', 596.000000, 597.000000, 587.000000, 587.000000, -10.000000, '70527')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/04/01', '45972766', '27520742963', 598.000000, 602.000000, 594.000000, 602.000000, 15.000000, '48170')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/04/06', '37664216', '23045132094', 615.000000, 616.000000, 608.000000, 610.000000, 8.000000, '42422')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/04/07', '28140964', '17175949080', 614.000000, 614.000000, 608.000000, 610.000000, 0.000000, '28395')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/04/08', '26658283', '16217570357', 606.000000, 613.000000, 603.000000, 613.000000, 3.000000, '32098')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/04/09', '31601619', '19344167081', 618.000000, 618.000000, 609.000000, 610.000000, -3.000000, '28920')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/04/12', '23319822', '14155495430', 612.000000, 613.000000, 603.000000, 605.000000, -5.000000, '33422')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/04/13', '27386926', '16638680378', 604.000000, 613.000000, 604.000000, 605.000000, 0.000000, '30438')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/04/14', '31144922', '18868308243', 608.000000, 612.000000, 600.000000, 612.000000, 7.000000, '41234')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/04/15', '36394255', '22332532476', 612.000000, 619.000000, 607.000000, 619.000000, 7.000000, '40541')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/04/16', '49952191', '30335377876', 610.000000, 611.000000, 603.000000, 610.000000, -9.000000, '67601')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/04/19', '25234976', '15224292755', 605.000000, 607.000000, 601.000000, 603.000000, -7.000000, '43094')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/04/20', '36655069', '21969721089', 598.000000, 602.000000, 595.000000, 602.000000, -1.000000, '54247')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/04/21', '41893725', '24933016553', 599.000000, 599.000000, 592.000000, 592.000000, -10.000000, '92840')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/04/22', '38094824', '22626436436', 596.000000, 598.000000, 591.000000, 591.000000, -1.000000, '64897')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/04/23', '29004756', '17336162729', 592.000000, 602.000000, 590.000000, 602.000000, 11.000000, '29147')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/04/26', '32426908', '19673836650', 605.000000, 610.000000, 603.000000, 610.000000, 8.000000, '35286')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/04/27', '26761401', '16274064043', 608.000000, 611.000000, 605.000000, 610.000000, 0.000000, '25203')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/04/28', '24601487', '14833592900', 606.000000, 608.000000, 601.000000, 602.000000, -8.000000, '32198')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/04/29', '35756460', '21579514979', 609.000000, 609.000000, 600.000000, 600.000000, -2.000000, '30756')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/05/03', '46801189', '27676378065', 595.000000, 597.000000, 588.000000, 588.000000, -12.000000, '104468')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/05/04', '45507479', '26756714081', 588.000000, 594.000000, 582.000000, 591.000000, 3.000000, '69833')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/05/05', '31786592', '18603594408', 594.000000, 594.000000, 585.000000, 585.000000, -6.000000, '52496')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/05/06', '33165446', '19405281385', 590.000000, 590.000000, 580.000000, 587.000000, 2.000000, '69578')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/05/07', '28719597', '17131817777', 594.000000, 600.000000, 589.000000, 599.000000, 12.000000, '30063')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/05/10', '21365583', '12626811276', 596.000000, 597.000000, 588.000000, 589.000000, -10.000000, '43154')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/05/11', '66035839', '37939364597', 579.000000, 580.000000, 570.000000, 571.000000, -18.000000, '184838')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/05/12', '138328672', '76325765887', 567.000000, 571.000000, 518.000000, 560.000000, -11.000000, '223058')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/05/13', '71519430', '39495488180', 547.000000, 563.000000, 541.000000, 547.000000, -13.000000, '105026')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/05/14', '38625148', '21474513930', 556.000000, 562.000000, 552.000000, 557.000000, 10.000000, '52919')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/05/17', '58446847', '32066868553', 544.000000, 558.000000, 541.000000, 549.000000, -8.000000, '76808')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/05/18', '44584258', '25226153189', 563.000000, 573.000000, 555.000000, 572.000000, 23.000000, '52152')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/05/19', '29610174', '16832735286', 571.000000, 572.000000, 565.000000, 567.000000, -5.000000, '34443')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/05/20', '36605692', '20670883290', 567.000000, 571.000000, 560.000000, 567.000000, 0.000000, '32301')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/05/21', '28009899', '16016851343', 572.000000, 577.000000, 568.000000, 573.000000, 6.000000, '27050')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/05/24', '15981036', '9090836697', 570.000000, 572.000000, 566.000000, 568.000000, -5.000000, '20189')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/05/25', '35445350', '20525932956', 576.000000, 584.000000, 573.000000, 583.000000, 15.000000, '39032')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/05/26', '19555305', '11433686898', 587.000000, 588.000000, 581.000000, 585.000000, 2.000000, '21034')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/05/27', '70061002', '40643804852', 580.000000, 582.000000, 573.000000, 582.000000, -3.000000, '37545')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/05/28', '30720737', '18082265480', 587.000000, 592.000000, 582.000000, 590.000000, 8.000000, '31581')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/05/31', '31557426', '18751716595', 595.000000, 597.000000, 590.000000, 597.000000, 7.000000, '29798')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/06/01', '18405285', '10985893229', 598.000000, 599.000000, 595.000000, 598.000000, 1.000000, '20318')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/06/02', '22416789', '13362065937', 600.000000, 600.000000, 593.000000, 595.000000, -3.000000, '25170')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/06/03', '31703679', '18939839664', 600.000000, 600.000000, 596.000000, 596.000000, 1.000000, '20749')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/06/04', '16072580', '9521252157', 591.000000, 595.000000, 590.000000, 595.000000, -1.000000, '19112')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/06/07', '17729179', '10471176330', 594.000000, 595.000000, 583.000000, 592.000000, -3.000000, '25364')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/06/08', '14083552', '8312653665', 590.000000, 595.000000, 588.000000, 589.000000, -3.000000, '14051')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/06/09', '21575159', '12618113390', 586.000000, 588.000000, 583.000000, 586.000000, -3.000000, '36405')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/06/10', '29741770', '17696413894', 591.000000, 599.000000, 587.000000, 599.000000, 13.000000, '30487')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/06/11', '24940705', '15011140567', 602.000000, 603.000000, 600.000000, 602.000000, 3.000000, '25271')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/06/15', '30245897', '18415370774', 607.000000, 609.000000, 606.000000, 609.000000, 7.000000, '33515')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/06/16', '28624508', '17401326587', 608.000000, 608.000000, 605.000000, 605.000000, -4.000000, '25816')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/06/17', '26477032', '15924656516', 601.000000, 606.000000, 598.000000, 606.000000, 0.000000, '21061')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/06/18', '42036170', '25373026235', 608.000000, 608.000000, 601.000000, 603.000000, -3.000000, '16899')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/06/21', '47339695', '27749202661', 590.000000, 594.000000, 583.000000, 583.000000, -20.000000, '109204')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/06/22', '30578091', '17786329582', 585.000000, 588.000000, 578.000000, 578.000000, -5.000000, '56057')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/06/23', '36386023', '21500052844', 583.000000, 598.000000, 581.000000, 595.000000, 17.000000, '34454')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/06/24', '19322765', '11435647488', 598.000000, 598.000000, 588.000000, 590.000000, -5.000000, '18494')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/06/25', '19140086', '11355715486', 598.000000, 598.000000, 589.000000, 591.000000, 1.000000, '16850')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/06/28', '15401977', '9056869217', 590.000000, 590.000000, 586.000000, 590.000000, -1.000000, '20825')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/06/29', '30837548', '18350027611', 598.000000, 598.000000, 591.000000, 595.000000, 5.000000, '24078')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/06/30', '34021380', '20301841661', 599.000000, 599.000000, 595.000000, 595.000000, 0.000000, '20097')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/07/01', '18719706', '11116195742', 596.000000, 597.000000, 591.000000, 593.000000, -2.000000, '20565')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/07/02', '19633718', '11562140245', 590.000000, 593.000000, 587.000000, 588.000000, -5.000000, '24056')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/07/05', '30274105', '17957255325', 588.000000, 597.000000, 588.000000, 591.000000, 3.000000, '21836')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/07/06', '13830591', '8185167307', 595.000000, 596.000000, 589.000000, 592.000000, 1.000000, '15751')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/07/07', '17329148', '10250342169', 590.000000, 594.000000, 588.000000, 594.000000, 2.000000, '18023')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/07/08', '21596183', '12733045117', 595.000000, 595.000000, 588.000000, 588.000000, -6.000000, '23352')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/07/09', '30602492', '17821338170', 582.000000, 585.000000, 580.000000, 584.000000, -4.000000, '51232')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/07/12', '33011596', '19612592644', 595.000000, 597.000000, 590.000000, 593.000000, 9.000000, '28636')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/07/13', '54894335', '33158730436', 600.000000, 608.000000, 599.000000, 607.000000, 14.000000, '60121')
INSERT INTO [dbo].[historyPriceInfo] (stock_code, date, tv, t, o, h, l, c, d, v) VALUES ('2330', '2021/07/14', '39670241', '24276719505', 613.000000, 615.000000, 608.000000, 613.000000, 6.000000, '43173')
